date,average_wind_speed,precipitation,snowfall,snow_depth,average_temperature,maximum_temperature,minimum_temperature,fog,heavy_fog
4/9/22,10.51,0.23,0,0,43,49,36,1,0
4/10/22,11.18,0.05,0,0,41,48,36,1,0
4/11/22,15.66,0.02,0,0,42,53,37,0,0
4/12/22,10.29,0.01,0,0,42,47,33,1,0
4/13/22,6.04,0,0,0,38,44,32,1,0
4/14/22,6.26,0.13,0,0,38,48,35,1,0
4/15/22,6.93,0,0,0,41,50,36,0,0
4/16/22,10.51,0.01,0,0,43,48,37,0,0
4/17/22,8.05,0,0,0,44,58,37,0,0
4/18/22,8.72,0.23,0,0,50,52,41,1,0
4/19/22,8.95,0.14,0,0,44,54,39,1,0
4/20/22,6.71,0.08,0,0,46,54,38,0,0
4/21/22,8.5,0.18,0,0,48,56,42,1,0
4/22/22,3.8,0.01,0,0,47,58,42,1,0
4/23/22,5.59,0,0,0,50,59,44,0,0
4/24/22,7.16,0,0,0,53,67,42,0,0
4/25/22,9.17,0.14,0,0,53,57,45,1,0
4/26/22,10.74,0.05,0,0,47,52,41,1,0
4/27/22,6.04,0,0,0,47,56,39,0,0
4/28/22,5.37,0,0,0,48,57,42,0,0
4/29/22,5.59,0.14,0,0,50,60,44,1,0
4/30/22,7.16,0.39,0,0,53,60,46,1,0
5/1/22,4.47,0,0,0,52,62,44,0,0
5/2/22,6.26,0.37,0,0,53,54,47,1,0
5/3/22,8.5,0,0,0,50,54,46,1,0
5/4/22,4.47,0,0,0,51,65,45,0,0
5/5/22,9.84,0.44,0,0,51,52,44,1,0
5/6/22,4.92,0.64,0,0,48,55,42,1,0
5/7/22,12.3,0.47,0,0,49,55,42,1,0
5/8/22,7.61,0.02,0,0,46,55,40,0,0
5/9/22,8.95,0.01,0,0,47,57,40,0,0
5/10/22,8.5,0,0,0,49,59,41,0,0
5/11/22,8.72,0.02,0,0,51,59,42,0,0
5/12/22,10.51,0.29,0,0,49,51,42,1,0
5/13/22,7.38,0,0,0,47,58,40,0,0
5/14/22,7.38,0.03,0,0,53,66,46,1,0
5/15/22,6.26,0.65,0,0,56,59,51,1,0
5/16/22,11.41,0,0,0,55,60,45,0,0
5/17/22,7.38,0,0,0,51,61,44,0,0
5/18/22,16.55,0.24,0,0,52,57,46,1,0
5/19/22,8.95,0,0,0,49,58,43,0,0
5/20/22,4.03,0,0,0,50,61,41,0,0
5/21/22,6.71,0,0,0,54,67,44,0,0
5/22/22,5.82,0,0,0,58,71,46,0,0
5/23/22,6.93,0,0,0,59,66,51,0,0
5/24/22,5.59,0,0,0,56,59,51,0,0
5/25/22,7.83,0.02,0,0,56,68,51,1,0
5/26/22,4.47,0.24,0,0,58,66,50,1,0
5/27/22,11.63,0,0,0,57,62,49,1,0
5/28/22,7.16,0.15,0,0,53,58,48,1,0
5/29/22,9.84,0.23,0,0,51,56,48,1,0
5/30/22,4.7,0,0,0,51,60,45,0,0
5/31/22,7.61,0,0,0,56,70,47,0,0
6/1/22,6.04,0,0,0,61,71,53,0,0
6/2/22,3.8,0.03,0,0,62,73,53,1,0
6/3/22,6.93,0.17,0,0,60,62,53,1,0
6/4/22,5.59,0.27,0,0,59,68,54,1,0
6/5/22,9.17,0.56,0,0,60,65,53,1,0
6/6/22,6.04,0,0,0,56,64,51,0,0
6/7/22,7.83,0,0,0,59,72,51,0,0
6/8/22,6.26,0,0,0,62,70,56,0,0
6/9/22,4.47,1.1,0,0,58,59,53,1,0
6/10/22,8.28,0.17,0,0,60,67,55,1,0
6/11/22,7.61,0.01,0,0,59,69,54,1,0
6/12/22,7.61,0.01,0,0,57,57,50,1,0
6/13/22,14.09,0.11,0,0,53,60,48,1,0
6/14/22,6.93,0.01,0,0,53,63,48,1,0
6/15/22,3.8,0,0,0,55,62,50,0,0
6/16/22,6.26,0.01,0,0,57,67,50,1,0
6/17/22,8.05,0.16,0,0,58,57,53,1,0
6/18/22,9.84,0.01,0,0,55,63,52,0,0
6/19/22,6.71,0,0,0,57,66,52,0,0
6/20/22,4.92,0,0,0,58,68,52,0,0
6/21/22,4.47,0,0,0,61,76,50,0,0
6/22/22,4.92,0.04,0,0,63,68,56,1,0
6/23/22,8.05,0,0,0,60,71,51,0,0
6/24/22,9.4,0,0,0,63,77,52,0,0
6/25/22,12.97,0,0,0,71,87,58,0,0
6/26/22,12.08,0,0,0,78,90,67,0,0
6/27/22,6.49,0,0,0,78,91,57,0,0
6/28/22,9.84,0.01,0,0,65,65,56,1,0
6/29/22,7.83,0,0,0,58,69,54,0,0
6/30/22,8.5,0,0,0,62,75,54,0,0
7/1/22,5.82,0,0,0,65,75,55,0,0
7/2/22,5.59,0,0,0,62,67,54,0,0
7/3/22,7.83,0.09,0,0,58,58,52,1,0
7/4/22,5.82,0,0,0,57,72,51,1,0
7/5/22,5.82,0.02,0,0,63,76,53,1,0
7/6/22,5.59,0.05,0,0,64,74,60,1,0
7/7/22,5.59,0,0,0,66,77,58,0,0
7/8/22,6.71,0,0,0,67,77,60,0,0
7/9/22,6.49,0,0,0,67,77,58,0,0
7/10/22,7.83,0,0,0,65,75,58,0,0
7/11/22,9.84,0,0,0,70,86,60,0,0
7/12/22,7.16,0,0,0,74,85,59,0,0
7/13/22,7.83,0,0,0,66,77,55,0,0
7/14/22,4.7,0,0,0,65,80,53,0,0
7/15/22,8.72,0,0,0,66,78,54,0,0
7/16/22,8.05,0,0,0,66,71,60,0,0
7/17/22,4.92,0.01,0,0,62,69,57,0,0
7/18/22,7.38,0.01,0,0,61,74,54,1,0
7/19/22,9.84,0,0,0,66,83,55,1,0
7/20/22,5.14,0,0,0,71,84,59,0,0
7/21/22,6.93,0,0,0,69,81,57,0,0
7/22/22,8.05,0,0,0,65,72,57,0,0
7/23/22,5.59,0,0,0,63,72,57,0,0
7/24/22,7.38,0,0,0,67,84,56,0,0
7/25/22,8.5,0,0,0,74,87,62,0,0
7/26/22,5.14,0,0,0,78,94,65,0,0
7/27/22,6.04,0,0,0,77,91,61,0,0
7/28/22,5.82,0,0,0,76,94,61,0,0
7/29/22,5.59,0,0,0,78,95,63,0,0
7/30/22,5.59,0,0,0,79,95,63,0,0
7/31/22,5.37,0,0,0,80,95,65,0,0
8/1/22,7.83,0,0,0,74,81,61,0,0
8/2/22,6.93,0,0,0,66,77,58,0,0
8/3/22,9.4,0,0,0,64,74,53,0,0
8/4/22,12.3,0,0,0,63,70,58,0,0
8/5/22,10.74,0,0,0,64,76,55,0,0
8/6/22,7.38,0,0,0,69,84,56,0,0
8/7/22,7.61,0,0,0,74,90,61,0,0
8/8/22,6.26,0,0,0,76,91,61,0,0
8/9/22,4.7,0,0,0,67,79,59,0,0
8/10/22,6.49,0.03,0,0,66,70,59,1,0
8/11/22,4.92,0,0,0,66,81,58,0,0
8/12/22,8.72,0,0,0,67,78,56,0,0
8/13/22,8.05,0,0,0,67,75,60,0,0
8/14/22,6.71,0,0,0,67,82,59,0,0
8/15/22,4.47,0,0,0,70,84,58,0,0
8/16/22,6.93,0,0,0,68,83,58,1,0
8/17/22,8.05,0,0,0,74,90,63,0,0
8/18/22,5.37,0,0,0,78,87,68,0,0
8/19/22,7.38,0.02,0,0,74,79,63,0,0
8/20/22,6.71,0,0,0,68,77,62,0,0
8/21/22,4.7,0,0,0,68,81,62,0,0
8/22/22,4.47,0,0,0,70,84,59,0,0
8/23/22,6.71,0,0,0,67,81,57,1,0
8/24/22,6.26,0,0,0,72,87,59,0,0
8/25/22,5.59,0,0,0,75,89,60,0,0
8/26/22,9.62,0,0,0,67,72,60,1,0
8/27/22,8.5,0,0,0,63,70,57,1,0
8/28/22,6.71,0,0,0,62,77,53,0,0
8/29/22,9.17,0,0,0,68,85,56,0,0
8/30/22,8.05,0,0,0,75,90,62,0,0
8/31/22,6.71,0,0,0,75,85,60,0,0
9/1/22,5.37,0,0,0,65,79,58,1,0
9/2/22,5.82,0,0,0,66,80,56,0,0
9/3/22,6.93,0.06,0,0,64,74,57,1,0
9/4/22,8.05,0.01,0,0,66,76,57,0,0
9/5/22,7.16,0,0,0,64,75,55,0,0
9/6/22,8.5,0,0,0,65,80,54,0,0
9/7/22,7.61,0,0,0,68,78,58,0,0
9/8/22,8.72,0,0,0,64,73,52,0,0
9/9/22,16.11,0,0,0,64,78,55,0,0
9/10/22,11.18,0,0,0,71,92,58,0,0
9/11/22,7.83,0,0,0,71,72,60,0,0
9/12/22,4.92,0,0,0,65,72,60,1,0
9/13/22,3.8,0,0,0,65,69,59,0,0
9/14/22,4.03,0,0,0,64,70,58,0,0
9/15/22,4.92,0,0,0,62,69,57,0,0
9/16/22,6.93,0.15,0,0,59,69,54,1,0
9/17/22,9.17,0,0,0,59,68,51,0,0
9/18/22,11.41,0,0,0,60,74,55,0,0
9/19/22,6.04,0,0,0,63,77,49,0,0
9/20/22,11.86,0,0,0,66,78,55,0,0
9/21/22,5.82,0,0,0,65,77,50,0,0
9/22/22,12.08,0,0,0,62,70,54,0,0
9/23/22,5.37,0,0,0,61,69,55,0,0
9/24/22,6.71,0,0,0,62,75,51,0,0
9/25/22,7.61,0,0,0,64,80,53,0,0
9/26/22,3.36,0,0,0,66,82,55,0,0
9/27/22,5.82,0,0,0,66,76,53,1,0
9/28/22,5.37,0.03,0,0,58,65,54,1,0
9/29/22,6.04,0,0,0,61,70,56,0,0
9/30/22,7.83,0,0,0,60,70,53,0,0
10/1/22,9.62,0,0,0,64,78,54,1,0
10/2/22,4.25,0,0,0,66,80,55,0,0
10/3/22,3.13,0,0,0,65,78,53,1,0
10/4/22,5.37,0,0,0,59,64,53,1,1
10/5/22,3.8,0,0,0,58,64,53,1,0
10/6/22,5.59,0,0,0,59,74,53,1,1
10/7/22,3.8,0,0,0,63,77,53,1,0
10/8/22,3.58,0,0,0,64,77,53,1,0
10/9/22,3.8,0,0,0,62,74,51,1,0
10/10/22,5.82,0.01,0,0,61,69,51,1,0
10/11/22,5.82,0,0,0,58,68,48,0,0
10/12/22,8.28,0,0,0,58,69,49,0,0
10/13/22,4.03,0,0,0,58,75,48,1,0
10/14/22,4.92,0,0,0,60,73,48,1,0
10/15/22,9.4,0,0,0,62,77,54,0,0
10/16/22,6.49,0,0,0,70,88,55,0,0
10/17/22,5.37,0,0,0,59,67,52,0,0
10/18/22,3.13,0,0,0,57,68,47,1,0
10/19/22,4.7,0,0,0,56,67,48,1,1
10/20/22,4.25,0,0,0,55,63,48,1,0
10/21/22,8.28,0.31,0,0,52,53,46,1,0
10/22/22,4.92,0.41,0,0,47,50,43,1,0
10/23/22,5.82,0,0,0,46,55,41,0,0
10/24/22,8.95,0.1,0,0,50,57,45,1,0
10/25/22,11.86,0.47,0,0,49,51,45,1,0
10/26/22,8.72,0,0,0,46,53,41,0,0
10/27/22,13.65,0,0,0,52,59,49,0,0
10/28/22,7.16,0.28,0,0,54,57,47,1,0
10/29/22,6.93,0,0,0,50,56,43,1,0
10/30/22,13.2,0.29,0,0,52,56,50,1,0
10/31/22,9.62,0.64,0,0,53,54,46,1,0
11/1/22,4.92,0.13,0,0,47,51,41,1,0
11/2/22,5.82,0.05,0,0,43,46,38,1,0
11/3/22,7.83,0.29,0,0,41,44,37,1,0
11/4/22,18.57,0.21,0,0,48,57,42,1,0
11/5/22,10.74,0,0,0,49,51,41,0,0
11/6/22,8.95,0.76,0,0,43,45,38,1,0
11/7/22,6.93,0.23,0,0,40,45,37,1,0
11/8/22,18.12,0,0,0,39,43,35,0,0
11/9/22,6.93,0,0,0,38,45,32,0,0
11/10/22,3.13,0,0,0,40,46,35,0,0
11/11/22,7.16,0,0,0,42,49,37,0,0
11/12/22,5.37,0,0,0,42,50,33,0,0
11/13/22,6.71,0,0,0,41,49,35,1,0
11/14/22,10.96,0,0,0,42,52,36,1,0
11/15/22,7.83,0,0,0,43,54,34,0,0
11/16/22,6.49,0,0,0,41,51,31,1,1
11/17/22,14.54,0,0,0,43,51,36,1,0
11/18/22,7.83,0,0,0,42,51,30,0,0
11/19/22,6.26,0,0,0,40,50,31,0,0
11/20/22,2.01,0,0,0,40,52,32,0,0
11/21/22,3.58,0,0,0,44,48,39,0,0
11/22/22,7.38,1.2,0,0,46,49,44,1,0
11/23/22,3.8,0,0,0,48,53,41,0,0
11/24/22,4.92,0,0,0,44,52,36,1,1
11/25/22,9.84,0.64,0,0,47,49,36,1,1
11/26/22,10.74,0.16,0,0,39,45,34,1,0
11/27/22,12.3,0.17,0,0,44,47,39,1,0
11/28/22,6.71,0.02,0,0,39,40,33,1,0
11/29/22,8.05,1.05,0.9,0,34,39,30,1,1
11/30/22,9.17,0.56,0.2,0,38,41,29,1,0
12/1/22,6.49,0.02,0.4,0,33,37,28,1,0
12/2/22,8.95,0.2,0.3,0,32,39,27,1,0
12/3/22,11.63,0.32,2.6,2,37,43,33,0,0
12/4/22,7.61,0.31,0.1,1.2,35,38,32,1,0
12/5/22,3.58,0,0,0,36,41,35,1,0
12/6/22,6.26,0.04,0,0,38,42,36,1,0
12/7/22,7.61,0.01,0,0,41,45,38,0,0
12/8/22,9.17,0.1,0,0,42,43,37,1,0
12/9/22,9.62,0.71,0,0,40,43,36,1,0
12/10/22,8.95,0.3,0,0,42,46,40,1,0
12/11/22,4.92,0.04,0,0,43,45,39,1,1
12/12/22,4.25,0.18,0,0,42,43,38,1,0
12/13/22,2.01,0,0,0,39,43,32,1,0
12/14/22,7.61,0,0,0,40,43,35,0,0
12/15/22,11.41,0,0,0,37,41,30,1,0
12/16/22,4.7,0,0,0,35,44,28,1,1
12/17/22,8.05,0.14,0,0,34,40,30,1,1
12/18/22,13.42,0.02,0.2,0,39,42,31,1,0
12/19/22,4.92,0.04,0.2,0,32,35,30,1,0
12/20/22,9.17,0.66,0.6,1.2,34,42,29,1,0
12/21/22,11.18,0,0.3,1.2,28,30,20,1,0
12/22/22,13.42,0,0,0,21,26,18,0,0
12/23/22,9.4,0.35,0,0,26,39,23,1,1
12/24/22,10.74,1.52,0,0,40,53,36,1,0
12/25/22,4.92,0.45,0,0,50,53,47,1,0
12/26/22,11.18,1.12,0,0,52,57,46,1,0
12/27/22,17.22,0.27,0,0,50,53,44,1,0
12/28/22,12.97,0.03,0,0,44,46,41,1,0
12/29/22,6.26,0.35,0,0,43,46,41,1,0
12/30/22,14.32,0.36,0,0,46,53,42,1,0
12/31/22,10.07,0.01,0,0,46,49,43,1,0
